Date : 2023-09-10 21:33:33
Directory : /Users/emirhaneyidogan/Projeler/unilocked-website
Total : 433 files,  50074 codes, 271 comments, 3282 blanks, all 53627 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |         86 |     12,375 |          6 |        364 |     12,745 |
| JSON               |          6 |     12,306 |          2 |          7 |     12,315 |
| SCSS               |         92 |      9,621 |         67 |      1,468 |     11,156 |
| XML                |         10 |      9,182 |          3 |          9 |      9,194 |
| TypeScript         |        219 |      6,225 |        162 |      1,393 |      7,780 |
| CSS                |         16 |        285 |          9 |         22 |        316 |
| JavaScript         |          2 |         38 |          7 |          3 |         48 |
| JSON with Comments |          1 |         28 |         15 |          0 |         43 |
| Markdown           |          1 |         14 |          0 |         16 |         30 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                             |        433 |     50,074 |        271 |      3,282 |     53,627 |
| . (Files)                                                                                                                                                     |          9 |     12,385 |         23 |         25 |     12,433 |
| src                                                                                                                                                           |        424 |     37,689 |        248 |      3,257 |     41,194 |
| src (Files)                                                                                                                                                   |          5 |        165 |         67 |         57 |        289 |
| src/app                                                                                                                                                       |        286 |     23,846 |         91 |      2,408 |     26,345 |
| src/app (Files)                                                                                                                                               |          6 |        126 |          0 |         20 |        146 |
| src/app/admin                                                                                                                                                 |         27 |      7,284 |         12 |        487 |      7,783 |
| src/app/admin (Files)                                                                                                                                         |          2 |         92 |          0 |          7 |         99 |
| src/app/admin/admin-home                                                                                                                                      |          4 |      1,191 |          0 |         81 |      1,272 |
| src/app/admin/components                                                                                                                                      |          4 |        252 |          0 |         33 |        285 |
| src/app/admin/components/admin-menu                                                                                                                           |          4 |        252 |          0 |         33 |        285 |
| src/app/admin/content-editing                                                                                                                                 |          4 |        755 |          0 |         73 |        828 |
| src/app/admin/content-publishing-hub                                                                                                                          |          4 |      2,838 |          6 |        114 |      2,958 |
| src/app/admin/models                                                                                                                                          |          1 |          7 |          0 |          0 |          7 |
| src/app/admin/partnership-platform                                                                                                                            |          4 |        982 |          0 |         74 |      1,056 |
| src/app/admin/profile-editing                                                                                                                                 |          4 |      1,167 |          6 |        105 |      1,278 |
| src/app/models                                                                                                                                                |          3 |         26 |          0 |          5 |         31 |
| src/app/site                                                                                                                                                  |        250 |     16,410 |         79 |      1,896 |     18,385 |
| src/app/site (Files)                                                                                                                                          |          2 |        180 |          0 |         32 |        212 |
| src/app/site/communities                                                                                                                                      |          8 |        559 |          0 |         63 |        622 |
| src/app/site/communities (Files)                                                                                                                              |          4 |        227 |          0 |         31 |        258 |
| src/app/site/communities/communities-extended                                                                                                                 |          4 |        332 |          0 |         32 |        364 |
| src/app/site/companies                                                                                                                                        |          8 |        709 |          0 |         53 |        762 |
| src/app/site/companies (Files)                                                                                                                                |          4 |        277 |          0 |         32 |        309 |
| src/app/site/companies/companies-extended                                                                                                                     |          4 |        432 |          0 |         21 |        453 |
| src/app/site/company                                                                                                                                          |          4 |        943 |          0 |         53 |        996 |
| src/app/site/components                                                                                                                                       |         16 |        421 |          0 |         97 |        518 |
| src/app/site/components/main-content                                                                                                                          |          4 |         49 |          0 |         13 |         62 |
| src/app/site/components/main-menu                                                                                                                             |          4 |        116 |          0 |         22 |        138 |
| src/app/site/components/post                                                                                                                                  |          8 |        256 |          0 |         62 |        318 |
| src/app/site/components/post (Files)                                                                                                                          |          4 |        202 |          0 |         45 |        247 |
| src/app/site/components/post/post-content                                                                                                                     |          4 |         54 |          0 |         17 |         71 |
| src/app/site/discovery-catalog                                                                                                                                |         28 |      1,760 |          0 |        215 |      1,975 |
| src/app/site/discovery-catalog (Files)                                                                                                                        |          4 |        259 |          0 |         18 |        277 |
| src/app/site/discovery-catalog/catalog-cards                                                                                                                  |         24 |      1,501 |          0 |        197 |      1,698 |
| src/app/site/discovery-catalog/catalog-cards/community-card                                                                                                   |          4 |         26 |          0 |         11 |         37 |
| src/app/site/discovery-catalog/catalog-cards/company-card                                                                                                     |          4 |        255 |          0 |         33 |        288 |
| src/app/site/discovery-catalog/catalog-cards/events-card                                                                                                      |          4 |        311 |          0 |         36 |        347 |
| src/app/site/discovery-catalog/catalog-cards/job-card                                                                                                         |          4 |        287 |          0 |         37 |        324 |
| src/app/site/discovery-catalog/catalog-cards/person-card                                                                                                      |          4 |        284 |          0 |         36 |        320 |
| src/app/site/discovery-catalog/catalog-cards/project-post-card                                                                                                |          4 |        338 |          0 |         44 |        382 |
| src/app/site/event-details                                                                                                                                    |          4 |      1,428 |          2 |        103 |      1,533 |
| src/app/site/events                                                                                                                                           |          8 |        315 |          0 |         67 |        382 |
| src/app/site/events (Files)                                                                                                                                   |          4 |        175 |          0 |         40 |        215 |
| src/app/site/events/events-extended                                                                                                                           |          4 |        140 |          0 |         27 |        167 |
| src/app/site/explore                                                                                                                                          |          4 |         30 |          0 |         12 |         42 |
| src/app/site/friends                                                                                                                                          |          4 |        230 |          0 |         31 |        261 |
| src/app/site/homepage                                                                                                                                         |          4 |         31 |          0 |         14 |         45 |
| src/app/site/job-posting                                                                                                                                      |          4 |        625 |          0 |         49 |        674 |
| src/app/site/main-home                                                                                                                                        |         28 |      2,307 |         58 |        256 |      2,621 |
| src/app/site/main-home (Files)                                                                                                                                |          6 |         78 |          0 |         24 |        102 |
| src/app/site/main-home/guest-home                                                                                                                             |         18 |      1,926 |         58 |        176 |      2,160 |
| src/app/site/main-home/guest-home (Files)                                                                                                                     |          6 |      1,433 |         56 |        126 |      1,615 |
| src/app/site/main-home/guest-home/home-partners                                                                                                               |          4 |        137 |          0 |         23 |        160 |
| src/app/site/main-home/guest-home/planet-left                                                                                                                 |          4 |        294 |          0 |         12 |        306 |
| src/app/site/main-home/guest-home/planet-right                                                                                                                |          4 |         62 |          2 |         15 |         79 |
| src/app/site/main-home/user-home                                                                                                                              |          4 |        303 |          0 |         56 |        359 |
| src/app/site/messages                                                                                                                                         |          8 |      1,067 |          0 |        123 |      1,190 |
| src/app/site/messages (Files)                                                                                                                                 |          4 |        397 |          0 |         61 |        458 |
| src/app/site/messages/tabs                                                                                                                                    |          4 |        670 |          0 |         62 |        732 |
| src/app/site/messages/tabs/messages-main                                                                                                                      |          4 |        670 |          0 |         62 |        732 |
| src/app/site/notifications                                                                                                                                    |          4 |        194 |          0 |         31 |        225 |
| src/app/site/people                                                                                                                                           |         21 |        655 |          0 |        102 |        757 |
| src/app/site/people (Files)                                                                                                                                   |          4 |         62 |          0 |         18 |         80 |
| src/app/site/people/panels                                                                                                                                    |         13 |        272 |          0 |         58 |        330 |
| src/app/site/people/panels (Files)                                                                                                                            |          1 |         85 |          0 |         16 |        101 |
| src/app/site/people/panels/people-home                                                                                                                        |          4 |        127 |          0 |         16 |        143 |
| src/app/site/people/panels/people-professionals                                                                                                               |          4 |         30 |          0 |         13 |         43 |
| src/app/site/people/panels/people-students                                                                                                                    |          4 |         30 |          0 |         13 |         43 |
| src/app/site/people/people-extended                                                                                                                           |          4 |        321 |          0 |         26 |        347 |
| src/app/site/posts                                                                                                                                            |          2 |         56 |          0 |         13 |         69 |
| src/app/site/profiles                                                                                                                                         |         20 |      1,620 |          1 |        163 |      1,784 |
| src/app/site/profiles/community-profile                                                                                                                       |          4 |         30 |          0 |         12 |         42 |
| src/app/site/profiles/profile-content                                                                                                                         |          4 |         68 |          0 |         16 |         84 |
| src/app/site/profiles/user-profile                                                                                                                            |         12 |      1,522 |          1 |        135 |      1,658 |
| src/app/site/profiles/user-profile (Files)                                                                                                                    |          4 |      1,088 |          1 |        101 |      1,190 |
| src/app/site/profiles/user-profile/user-highlights                                                                                                            |          4 |        213 |          0 |         16 |        229 |
| src/app/site/profiles/user-profile/user-posts                                                                                                                 |          4 |        221 |          0 |         18 |        239 |
| src/app/site/projects                                                                                                                                         |         28 |        707 |          4 |        130 |        841 |
| src/app/site/projects (Files)                                                                                                                                 |          4 |         54 |          0 |         18 |         72 |
| src/app/site/projects/components                                                                                                                              |          4 |        161 |          4 |         36 |        201 |
| src/app/site/projects/components/project-card                                                                                                                 |          4 |        161 |          4 |         36 |        201 |
| src/app/site/projects/projects-extended                                                                                                                       |          4 |        105 |          0 |         19 |        124 |
| src/app/site/projects/tabs                                                                                                                                    |         16 |        387 |          0 |         57 |        444 |
| src/app/site/projects/tabs/my-projects                                                                                                                        |          4 |        100 |          0 |         15 |        115 |
| src/app/site/projects/tabs/projects-from-communities                                                                                                          |          4 |         96 |          0 |         13 |        109 |
| src/app/site/projects/tabs/projects-from-friends                                                                                                              |          4 |         96 |          0 |         13 |        109 |
| src/app/site/projects/tabs/projects-home                                                                                                                      |          4 |         95 |          0 |         16 |        111 |
| src/app/site/saved                                                                                                                                            |          8 |        162 |          0 |         48 |        210 |
| src/app/site/saved (Files)                                                                                                                                    |          4 |         75 |          0 |         22 |         97 |
| src/app/site/saved/panels                                                                                                                                     |          4 |         87 |          0 |         26 |        113 |
| src/app/site/saved/panels/saved-posts                                                                                                                         |          4 |         87 |          0 |         26 |        113 |
| src/app/site/school                                                                                                                                           |          4 |      1,137 |          0 |         70 |      1,207 |
| src/app/site/search-results                                                                                                                                   |         33 |      1,274 |         14 |        171 |      1,459 |
| src/app/site/search-results (Files)                                                                                                                           |          4 |         97 |          1 |         25 |        123 |
| src/app/site/search-results/tabs                                                                                                                              |         29 |      1,177 |         13 |        146 |      1,336 |
| src/app/site/search-results/tabs (Files)                                                                                                                      |          1 |         96 |          2 |         12 |        110 |
| src/app/site/search-results/tabs/search-communities                                                                                                           |          4 |         85 |          0 |         12 |         97 |
| src/app/site/search-results/tabs/search-companies                                                                                                             |          4 |         83 |          1 |         12 |         96 |
| src/app/site/search-results/tabs/search-events                                                                                                                |          4 |         54 |          1 |         12 |         67 |
| src/app/site/search-results/tabs/search-highlights                                                                                                            |          4 |        103 |          1 |         15 |        119 |
| src/app/site/search-results/tabs/search-people                                                                                                                |          4 |        124 |          1 |         17 |        142 |
| src/app/site/search-results/tabs/search-posts                                                                                                                 |          4 |        149 |          1 |         16 |        166 |
| src/app/site/search-results/tabs/search-projects                                                                                                              |          4 |        483 |          6 |         50 |        539 |
| src/assets                                                                                                                                                    |         14 |      9,186 |         10 |         10 |      9,206 |
| src/assets/css                                                                                                                                                |          2 |          2 |          6 |          0 |          8 |
| src/assets/img                                                                                                                                                |         10 |      9,182 |          3 |          9 |      9,194 |
| src/assets/js                                                                                                                                                 |          1 |          1 |          1 |          1 |          3 |
| src/assets/svg                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| src/common                                                                                                                                                    |        117 |      4,486 |         69 |        778 |      5,333 |
| src/common (Files)                                                                                                                                            |          4 |        239 |          3 |          8 |        250 |
| src/common/auth                                                                                                                                               |         46 |      2,300 |          4 |        346 |      2,650 |
| src/common/auth (Files)                                                                                                                                       |          5 |        233 |          0 |         31 |        264 |
| src/common/auth/login                                                                                                                                         |          4 |        262 |          0 |         66 |        328 |
| src/common/auth/register                                                                                                                                      |          4 |        595 |          2 |         56 |        653 |
| src/common/auth/settings                                                                                                                                      |         29 |        987 |          2 |        154 |      1,143 |
| src/common/auth/settings (Files)                                                                                                                              |          2 |         26 |          0 |          9 |         35 |
| src/common/auth/settings/main-settings                                                                                                                        |         27 |        961 |          2 |        145 |      1,108 |
| src/common/auth/settings/main-settings (Files)                                                                                                                |          5 |         39 |          1 |         15 |         55 |
| src/common/auth/settings/main-settings/panels                                                                                                                 |         22 |        922 |          1 |        130 |      1,053 |
| src/common/auth/settings/main-settings/panels (Files)                                                                                                         |          2 |         46 |          0 |          6 |         52 |
| src/common/auth/settings/main-settings/panels/account-settings                                                                                                |          5 |        218 |          0 |         26 |        244 |
| src/common/auth/settings/main-settings/panels/notification-settings                                                                                           |          5 |        534 |          0 |         65 |        599 |
| src/common/auth/settings/main-settings/panels/privacy-settings                                                                                                |          5 |         50 |          1 |         17 |         68 |
| src/common/auth/settings/main-settings/panels/security-settings                                                                                               |          5 |         74 |          0 |         16 |         90 |
